id,title,year,views,detail_link,thumbnail_url,cast,youtube_id,description
540,Melak,2010,272,https://yageru.com/info.php?pID=540&movNM=Melak,https://yageru.com/images/yt_movies/low_res/m540.jpg,"[{""name"": ""Mahlet Shumete"", ""profile_image"": ""https://yageru.com/images/artists/a35.jpg""}, {""name"": ""Hilina Sisay"", ""profile_image"": ""https://yageru.com/images/artists/a173.jpg""}, {""name"": ""Alebachew Mekonnen"", ""profile_image"": ""https://yageru.com/images/artists/a183.jpg""}, {""name"": ""Asrat Tadesse"", ""profile_image"": ""https://yageru.com/images/artists/a185.jpg""}, {""name"": ""Kaleb Arayaselasie"", ""profile_image"": ""https://yageru.com/images/artists/a266.jpg""}, {""name"": ""Dagmawi Paris George"", ""profile_image"": ""https://yageru.com/images/artists/a301.jpg""}]",aafDWUQ0AEs,N/A
503,Salnegrat,2015,254,https://yageru.com/info.php?pID=503&movNM=Salnegrat,https://yageru.com/images/blank_mov.jpg,"[{""name"": ""Netsanet Workneh"", ""profile_image"": ""https://yageru.com/images/artists/a34.jpg""}, {""name"": ""Blen Mamo"", ""profile_image"": ""https://yageru.com/images/artists/a268.jpg""}]",N/A,N/A
536,Freedom,2013,179,https://yageru.com/info.php?pID=536&movNM=Freedom,https://yageru.com/images/yt_movies/low_res/m536.jpg,"[{""name"": ""Selam Tesfaye"", ""profile_image"": ""https://yageru.com/images/artists/a2.jpg""}, {""name"": ""Joseph Daniel"", ""profile_image"": ""https://yageru.com/images/artists/a208.jpg""}]",h3rDr8091TU,N/A
535,Batmechis,2015,89,https://yageru.com/info.php?pID=535&movNM=Batmechis,https://yageru.com/images/yt_movies/low_res/m535.jpg,"[{""name"": ""Fanta Sintayehu"", ""profile_image"": ""https://yageru.com/images/artists/a245.jpg""}, {""name"": ""Abinet Dagem"", ""profile_image"": ""https://yageru.com/images/artists/a277.jpg""}, {""name"": ""Betelhem Kefiyalehu"", ""profile_image"": ""https://yageru.com/images/artists/a278.jpg""}, {""name"": ""Yared Egu"", ""profile_image"": ""https://yageru.com/images/artists/a279.jpg""}]",zY99Ktc6HWU,N/A
534,Bekum Kafekershign,2015,281,https://yageru.com/info.php?pID=534&movNM=Bekum Kafekershign,https://yageru.com/images/yt_movies/low_res/m534.jpg,"[{""name"": ""Tariku Birhanu"", ""profile_image"": ""https://yageru.com/images/artists/a4.jpg""}, {""name"": ""Segen Yifter"", ""profile_image"": ""https://yageru.com/images/artists/a49.jpg""}, {""name"": ""Natay Getachew"", ""profile_image"": ""https://yageru.com/images/artists/a77.jpg""}, {""name"": ""Mahlet Fekadu"", ""profile_image"": ""https://yageru.com/images/artists/a143.jpg""}, {""name"": ""Andualem Dejene"", ""profile_image"": ""https://yageru.com/images/artists/a380.jpg""}]",HmG2EKvSC9Y,N/A
533,Alsetim,2015,301,https://yageru.com/info.php?pID=533&movNM=Alsetim,https://yageru.com/images/yt_movies/low_res/m533.jpg,"[{""name"": ""Kassahun Fisseha (Mandela)"", ""profile_image"": ""https://yageru.com/images/artists/a5.jpg""}, {""name"": ""Marta Goitom"", ""profile_image"": ""https://yageru.com/images/artists/a46.jpg""}, {""name"": ""Tewodros Seyoum"", ""profile_image"": ""https://yageru.com/images/artists/a32.jpg""}, {""name"": ""Esmael Hassen"", ""profile_image"": ""https://yageru.com/images/artists/a142.jpg""}, {""name"": ""Almaz Abebe"", ""profile_image"": ""https://yageru.com/images/artists/a96.jpg""}, {""name"": ""Nardos Adane"", ""profile_image"": ""https://yageru.com/images/artists/a76.jpg""}]",TNJHHWoQy94,N/A
532,Bewendoch Bet,2015,188,https://yageru.com/info.php?pID=532&movNM=Bewendoch Bet,https://yageru.com/images/yt_movies/hi_res/m532.jpg,"[{""name"": ""Metasebia Tadesse"", ""profile_image"": ""https://yageru.com/images/artists/a66.jpg""}, {""name"": ""Marta Ayalew"", ""profile_image"": ""https://yageru.com/images/artists/a137.jpg""}]",xIJLpGxQduQ,N/A
531,Yalnorkut Lijinet,2015,97,https://yageru.com/info.php?pID=531&movNM=Yalnorkut Lijinet,https://yageru.com/images/yt_movies/low_res/m531.jpg,"[{""name"": ""Bezawit Mesfin"", ""profile_image"": ""https://yageru.com/images/artists/a38.jpg""}, {""name"": ""Biniyam Bekele"", ""profile_image"": ""https://yageru.com/images/artists/a139.jpg""}, {""name"": ""Samson Mekonnen"", ""profile_image"": ""https://yageru.com/images/artists/a140.jpg""}, {""name"": ""Frehiwot Bahiru"", ""profile_image"": ""https://yageru.com/images/artists/a141.jpg""}]",IkEm_oI9tpo,N/A
530,Yegna Sefer / Mehanaym,2019,446,https://yageru.com/info.php?pID=530&movNM=Yegna Sefer / Mehanaym,https://yageru.com/images/yt_movies/low_res/m530.jpg,"[{""name"": ""Henok Wondimu"", ""profile_image"": ""https://yageru.com/images/artists/a30.jpg""}, {""name"": ""Mekonnen Leake"", ""profile_image"": ""https://yageru.com/images/artists/a6.jpg""}, {""name"": ""Bezawit Mesfin"", ""profile_image"": ""https://yageru.com/images/artists/a38.jpg""}, {""name"": ""Getnet Feyissa (Janbo)"", ""profile_image"": ""https://yageru.com/images/artists/a210.jpg""}, {""name"": ""Frew Abebe"", ""profile_image"": ""https://yageru.com/images/artists/a375.jpg""}, {""name"": ""Bruk Yibeltal"", ""profile_image"": ""https://yageru.com/images/artists/a376.jpg""}, {""name"": ""Friat Berhe"", ""profile_image"": ""https://yageru.com/images/artists/a377.jpg""}]",MX4_isO6s74,N/A
529,All References Removed,2015,112,https://yageru.com/info.php?pID=529&movNM=All References Removed,https://yageru.com/images/blank_mov.jpg,"[{""name"": ""Dereje Demeke"", ""profile_image"": ""https://yageru.com/images/artists/a78.jpg""}, {""name"": ""Alebachew Mekonnen"", ""profile_image"": ""https://yageru.com/images/artists/a183.jpg""}, {""name"": ""Surafel Teka"", ""profile_image"": ""https://yageru.com/images/artists/a191.jpg""}]",N/A,N/A
